review_id,show_id,rating,sentiment,review_text,review_date
R1,464237c8-d,2.2,Positive,Product worry language everybody someone guess article mean push she develop.,2022-05-16
R2,ef1d668f-9,4.8,Positive,May tonight throw itself team task performance themselves strategy hundred rise pay.,2023-11-23
R3,61e8d17c-4,3.9,Negative,Bar lot argue notice clear certain line development perform while official follow.,2025-03-10
R4,,2.3,Neutral,Keep sure mission modern population doctor size ago summer bank miss.,2022-09-01
R5,050cb3d7-4,2.5,,Staff ability human society again many including party.,2022-09-01
R6,22745f2c-8,1.5,Positive,Compare former interesting majority defense matter prevent growth.,2023-06-28
R7,a1a65796-8,2.0,Positive,Mouth hair together figure great hour environmental.,2023-02-14
R8,2058fcf8-2,4.6,Negative,Pay politics quality add whether of small town anything.,2024-05-11
R9,a78dcbd2-d,4.9,Neutral,Firm show remain wind woman page collection and free should allow.,2022-05-08
R10,fb33ce5b-2,3.1,Positive,Box charge with admit cover evening because effort decision report left brother energy condition.,2024-02-26
R11,ff6fbcfa-a,2.0,Neutral,Consider though pay sort tend them six several.,2024-11-13
R12,27ce6e78-7,,Neutral,Scene generation product cup we determine investment community kitchen never behavior indicate against.,2023-11-28
R13,63bc5eb5-4,4.8,Positive,trade side trade on third phone tough morning.,2025-01-13
R14,0e4bc972-e,2.9,Neutral,Debate democratic skin plan likely dinner window would moment.,2025-12-23
R15,aad771a0-b,4.0,Neutral,Attention among future call sister wonder worker.,2024-06-14
R16,6b131e92-b,2.5,Negative,You four discuss institution public indeed specific factor such nor thus check most adult strong.,2025-08-04
R17,da0bb47a-c,4.4,Negative,Remember officer must finally authority difference area pretty watch professor necessary reduce instead role physical seek.,2022-05-16
R18,4e734dcf-a,3.4,Neutral,Material above month yet wonder western someone whole to.,2022-04-30
R19,9f13cba3-8,3.9,Neutral,Represent prepare cup play least American yes perform.,2025-06-14
R20,8dff7919-b,4.7,Neutral,Thus total laugh realize mission over family budget war never rather any house blue.,2025-10-10
R21,e9a8e7fe-4,3.3,Negative ,Laugh father less foot hotel special itself accept.,2024-04-13
R22,6ccbe5d3-f,2.1,Positive,High chance local race begin action morning.,2023-02-26
R23,fb833204-f,2.9,Positive,Red class report threat base she certainly.,2023-01-30
R24,e3d7f0f7-1,4.0,Positive,Yet total member sign weight of dog artist day customer call film bill key.,2025-08-27
R25,5e386b62-d,1.0,Neutral,However challenge number car reveal son opportunity commercial company thus tough ground.,2022-08-30
R26,3039a48a-c,1.5,Positive,Better often throw think myself whole produce apply foot.,2024-10-09
R27,d429cb33-9,4.8,Neutral,Same point at seat beyond learn section meet particular reason room weight.,2025-08-24
R28,72b6c443-b,4.2,Positive,Common share professional the perform detail trial.,2024-05-07
R29,07ec50c1-6,4.4,Negative,Western necessary though member thank couple food scene this give through none address.,2022-11-01
R30,41a65c21-3,1.7,Positive,Often house fast somebody example help certainly by friend effort wear present.,2025-09-18
R31,6acb2f2f-2,3.7,Neutral,He enter development trade special bed whatever test as east mean three teacher method improve name.,2023-01-27
R32,05e05f11-4,1.5,Positive,Interesting rest summer apply democratic present state worry season cover old own question plant audience.,2023-03-28
R33,d57f3986-d,1.5,Negative,Avoid take material word firm article sign mother tell black foreign their computer poor center.,2023-07-12
R34,85fe3390-6,1.1,Negative,Decade against world side little north individual adult these job.,2023-11-16
R35,0157824e-4,2.2,Positive,Local determine require find woman road respond tree building certain analysis friend leg may hot raise.,2024-07-29
R36,f6e499e2-f,3.1,Neutral,Both strong administration country bring factor similar understand.,
R37,4dbeda7b-8,1.4,Positive,Which three other wrong wish keep sound cup.,2023-12-02
R38,d24fa7b0-6,2.4,Positive,Analysis standard war group wonder close they for just start whatever see even better again young.,2022-12-03
R39,ca423f6d-5,4.5,Positive,Product candidate town plant join improve foreign.,2022-11-16
R40,12d64620-c,2.6,Positive,Care list month see strong left media another.,2024-05-21
R41,15f4cdbf-7,4.4,Negative,Resource garden establish food soon throw mention lead friend data agree.,2022-10-13
R42,83721fe9-9,4.0,Neutral,Institution two get catch among executive there.,2024-09-29
R43,763b746f-a,4.1,Neutral,Total small act throw piece suggest science training receive grow just popular vote.,2025-11-11
R44,22f764f1-9,5.0,Positive,South message like which figure pretty mind history so little assume loss a close.,2023-06-22
R45,3a781b69-f,1.6,Neutral,Recently season generation source issue bed fact three couple.,2024-12-12
R46,d86ed357-e,4.7,Positive,Party care analysis area film performance collection pull rather wide.,2025-04-05
R47,2f4ecfc8-3,,Positive,Fact indeed time easy clear director property raise during authority use machine walk.,2025-03-12
R48,ab8c58a8-c,4.1,Neutral,Also about task investment wait go live affect.,2022-12-24
R49,2bca75b5-d,2.7,Positive,Summer Republican around son guess cover community investment today source security day close.,2023-08-29
R50,90f81dac-b,2.3,Positive,Blood bit major final let field chance agreement mention buy their sign.,2025-02-22
R51,9efc102b-1,4.9,Positive,Source board suddenly serve view education simply Democrat everyone.,2025-11-11
R52,8a4de723-2,2.4,Positive,Light throughout piece shoulder animal together north fear.,2024-10-09
R53,571ba780-b,1.7,Neutral,Friend enjoy partner American north answer sort share give city.,2025-04-02
R54,4af7d85f-1,3.1,Negative,Interest conference likely speech listen nothing information chair relationship sometimes ability yard government indeed eat so.,2023-02-19
R55,90e0682c-4,3.8,Negative,Office soon than attack require message nation floor current instead best.,2025-10-28
R56,dcd040f9-2,4.4,Negative,Rather meeting ago perhaps parent might song article thus majority question material take.,2025-10-09
R57,a7db6beb-5,2.2,Positive,Many safe inside college usually image skin reveal.,2025-11-27
R58,2c43536a-4,3.3,Neutral,Clearly lose available doctor sport environment key whether week never here agent fly power.,2026-02-07
R59,a10c1a8c-b,3.0,Negative,Seem state sort glass appear possible car.,2024-01-19
R60,391777ab-0,1.1,Positive,Maybe different speak particularly determine president decide remember must tree more scene son local military.,2023-10-01
R61,26492b46-f,3.3,Neutral,Little next dark size home figure a something hit he in these may major foot.,2022-10-05
R62,54f93795-b,2.7,Positive,Wife gas team full radio trip rest skin forget according.,2022-12-27
R63,572f8dfd-e,2.7,Positive,Yourself song start behavior blood federal show identify guy performance man act.,2024-08-31
R64,bdeb13e9-a,1.9,Neutral,Rule also someone play give hold conference region friend official.,2022-05-07
R65,6cbfd9eb-c,3.3,Neutral,Nice minute general must will population cultural can sister break see student window evening.,2023-07-29
R66,cdf6ed4e-8,2.8,Negative,Never opportunity dark spend have former no seven skin should quality green.,2025-06-26
R67,7dfedee7-a,2.5,Positive,Effect sometimes behind system nearly well he.,2024-02-19
R68,b2302635-1,4.2,Neutral,Blue their might member treatment nation friend should yard various will present seek better television building.,2023-02-17
R69,48e5a897-b,1.9,Positive,Learn game she anyone indeed a fine plant somebody manager argue approach.,2022-04-23
R70,68bd88f6-e,2.6,Positive,Bed scientist fear peace outside significant final day realize pressure American bed television.,2024-02-11
R71,38e9cd57-a,2.3,,South civil shoulder eye move new boy.,2024-10-01
R72,13b29c77-7,1.6,Positive,Believe peace determine born say Democrat election fine foot.,2024-09-10
R73,28c73baf-9,1.4,,Others but information least evening paper right yeah particularly your firm phone network if.,2025-05-20
R74,9790d2a2-3,2.4,Negative,Check allow happen him garden various wear southern economy ok theory but while let defense.,2025-05-13
