show_id,title,type,release_year,genre,rating,director,country,language,date_added,imdb_score,budget_millions,age_certification
464237c8-d,War forward personal,TV Show,2021,Comedy,TV-MA,James Carpenter,Japan,Spanish,2019-03-20,3.7,108.11,Kids
ef1d668f-9,Require hundred recognize,Movie,1981,Documentary,TV-MA,Cassandra Goodman,Japan,Japanese,2018-07-21,3.2,265.63,Kids
61e8d17c-4,Adult exactly tough,TV Show,2002,Comedy,G,Kathleen Rodriguez,Japan,Korean,2023-07-24,8.6,206.21,All
43e4d2cc-d,Arm war,Movie,1996,Horror,PG-13,Jessica Foster,United Kingdom,English,2022-01-17,7.6,228.62,Kids
050cb3d7-4,Beat view,Movie,1995,Comedy,TV-14,Kristin Ramirez,Canada,English,2023-07-23,4.7,272.07,All
22745f2c-8,Establish,Movie,2011,Documentary,TV-MA,Kristina Frost,United States,Korean,2018-03-19,8.9,223.12,Kids
a1a65796-8,Win west,TV Show,2016,Documentary,TV-MA,Jeff Wilson,France,Hindi,2025-05-15,2.4,246.24,All
2058fcf8-2,Magazine begin,Movie,2018,Animation,PG-13,Michael Rodriguez,France,French,2019-07-24,3.5,257.48,Teen
a78dcbd2-d,Seek note until decade,Movie,2019,Comedy,G,Brian Hall,United Kingdom,Korean,2023-07-10,8.0,9.17,Adult
fb33ce5b-2,Population hot there,TV Show,2008,Drama,PG,Donna Martinez,United Kingdom,Korean,2019-04-21,6.0,41.96,Kids
ff6fbcfa-a,Group allow risk,TV Show,2009,Sci-Fi,PG,Sharon West,United States,Hindi,2024-03-19,3.2,240.11,All
27ce6e78-7,White raise,TV Show,2021,Sci-Fi,G,Mary Massey,South Korea,Korean,2020-05-01,5.5,286.59,All
63bc5eb5-4,Worry,Movie,1987,Drama,G,Susan Rogers,United States,Korean,2026-02-01,2.6,206.24,All
0e4bc972-e,Could voice,TV Show,2004,Drama,R,David Rogers,Canada,French,2021-02-21,3.2,14.93,All
aad771a0-b,Get laugh power,,1998,Romance,TV-14,,South Korea,Hindi,2018-07-07,5.2,19.71,Adult
6b131e92-b,Probably,Movie,1987,Horror,TV-MA,Jesse Willis,United Kingdom,English,2020-01-03,9.5,14.07,All
da0bb47a-c,Both,TV Show,2022,Thriller,PG,Michelle Watson,United States,Spanish,2025-05-15,3.5,103.28,Adult
4e734dcf-a,Inside back,TV Show,2021,Action,TV-14,Cassandra Goodman,Japan,English,2024-01-10,8.9,168.01,Teen
9f13cba3-8,Position including,TV Show,2012,Comedy,TV-14 ,Elizabeth Pope,India,Korean,2019-10-17,3.5,283.04,Adult
8dff7919-b,After lay,Movie,2000,Comedy,TV-14,Lindsay Reynolds,,French,2020-12-14,6.9,201.74,All
e9a8e7fe-4,Clearly moment,TV Show,2024,Comedy,R,James Carpenter,South Korea,Spanish,2024-12-10,2.6,208.62,Kids
6ccbe5d3-f,Today yourself,Movie,1983,Romance,R,Mr. Lance Martinez,United States,Spanish,2020-11-26,8.6,134.31,Kids
fb833204-f,Worry particularly pretty,TV Show,2016,Horror,TV-MA,Taylor Shaw,South Korea,Japanese,2025-12-09,7.5,237.3,All
e3d7f0f7-1,Class,Movie,1984,Animation,PG-13,Lisa Lopez,South Korea,Hindi,2019-05-11,5.4,182.23,Kids
5e386b62-d,Technology some,TV Show,2024,Action,TV-14,Angela White,United Kingdom,Korean,2020-10-05,5.4,223.2,Kids
3039a48a-c,News,TV Show,2025,Documentary,G,Danielle Hernandez,United States,Japanese,2018-03-09,5.2,58.83,Adult
d429cb33-9,Hold citizen property,Movie,2016,Comedy,TV-MA,Anthony Chen,Canada,Korean,2022-06-08,8.9,248.22,Kids
72b6c443-b,My little company,TV Show,2016,Romance,G,Juan Ward,France,Hindi,2018-08-07,1.3,276.11,Adult
07ec50c1-6,Eye others you employee,Movie,1985,Thriller,R,Jennifer Brady,India,English,2019-11-04,5.7,98.89,Teen
41a65c21-3,Agent camera,TV Show,2003,Action,PG-13,Joshua Pacheco,France,English,2019-07-29,8.5,85.31,All
6acb2f2f-2,Weight medical,TV Show,2010,Thriller,PG-13,Rachael Rush,Japan,,2019-02-17,6.9,224.93,Teen
05e05f11-4,Decision blue,Movie,2019,Drama,G,Lisa Hubbard,United States,French,2019-03-03,8.4,57.15,Teen
d57f3986-d,Determine day,Movie,2010,Animation,TV-14,Isaiah Carpenter,Japan,Hindi,2021-01-07,7.0,13.12,Teen
85fe3390-6,Event also,Movie,1988,Action,TV-14,Patricia Cunningham,United States,French,2024-05-14,6.7,164.76,All
0157824e-4,Fund Mrs,TV Show,2020,Action,PG,Courtney Harrell,France,Hindi,2024-04-02,3.2,146.03,Adult
f6e499e2-f,Manager,TV Show,2017,Sci-Fi,G,Michael Horn,Canada,Japanese,2021-11-12,4.5,107.92,Adult
4dbeda7b-8,Apply then wrong,TV Show,2019,Romance,TV-MA,Jessica Berry,United Kingdom,Korean,2021-11-06,4.9,94.32,Teen
d24fa7b0-6,Help result,Movie,1980,Comedy,PG,Ricky Strickland,France,French,2022-03-07,7.1,284.37,Teen
ca423f6d-5,Take arm another,Movie,1986,Documentary,PG-13,Brian Jones,Japan,Korean,2021-08-05,,256.25,Adult
12d64620-c,Fund necessary analysis,TV Show,2017,Comedy,TV-14,Robert Adams,Japan,French,2019-08-06,1.6,154.58,Kids
15f4cdbf-7,Job three draw,Movie,2006,Sci-Fi,R,Elizabeth Richards,Japan,Hindi,2023-06-04,3.4,139.16,Kids
83721fe9-9,Behavior coach,TV Show,2008,Documentary,G,Matthew Joseph,Canada,English,2021-06-28,2.5,89.96,Kids
763b746f-a,Itself act,TV Show,2022,Romance,TV-MA,Anthony Chen,Canada,Korean,2020-05-14,10.0,119.36,All
22f764f1-9,Speech,Movie,,Animation,PG-13,Kevin Roberts,United States,Hindi,2024-07-05,3.9,293.73,
3a781b69-f,Religious involve box,Movie,1982,Sci-Fi,PG-13,Richard Harris,India,Spanish,2020-12-11,3.2,83.89,Kids
d86ed357-e,Show civil,TV Show,1997,Thriller,PG,Robert Lee Jr.,United States,Spanish,2022-12-26,4.6,45.09,Teen
2f4ecfc8-3,Option election,TV Show,1992,Action,G,Michael Mason,Japan,Korean,2023-10-29,5.1,155.73,Kids
ab8c58a8-c,Worry none write break,Movie,1981,Animation,pg-13,Martha Mcclure,Canada,Japanese,2020-05-05,9.6,227.28,Teen
2bca75b5-d,Budget common,tv show,2010,Horror,PG,Tara Fernandez DDS,Japan,Hindi,2022-01-22,2.6,226.88,Kids
90f81dac-b,Stage reveal,TV Show,2020,Romance,PG-13,Lauren Anthony,Japan,English,2025-07-30,9.1,276.67,Kids
9efc102b-1,Head also evidence,Movie,2013,Horror,G,Patricia Wilkins,India,Korean,2024-04-16,5.4,169.85,Adult
8a4de723-2,Home feel,Movie,1990,Romance,G,Denise Williams,Japan,Hindi,2025-02-15,2.7,38.19,Adult
571ba780-b,Mother wall collection without,TV Show,2009,Action,R,Gary Hall,Canada,English,2025-12-13,7.3,157.99,Adult
4af7d85f-1,Sense,TV Show,2012,Romance,G,Cassandra Vasquez,United Kingdom,French,2024-11-29,5.3,65.9,Teen
90e0682c-4,Lot,Movie,1993,Sci-Fi,PG,John Murray,United States,English,2021-02-11,4.8,219.42,Teen
dcd040f9-2,Wall collection than,TV Show,1989,Animation,G,Ronald Johnson,United Kingdom,Hindi,2018-04-06,4.8,55.92,Teen
a7db6beb-5,Player those four,Movie,1991,Horror,PG-13,Mary Bennett,India,Japanese,2022-06-14,8.6,271.53,Kids
2c43536a-4,Cold as into,Movie,1985,Drama,PG-13,Laura Rodriguez,Canada,French,2019-08-09,1.2,191.52,All
a10c1a8c-b,Under record bad,TV Show,1999,Sci-Fi,TV-MA,Joanna Lee,United Kingdom,Japanese,2020-02-06,8.8,57.23,Adult
391777ab-0,Parent product,Movie,1986,Animation,G,,Japan,Korean,2022-11-08,1.3,148.52,All
26492b46-f,Practice PM,TV Show,2003,Documentary,TV-14,Andrew Hicks,France,Korean,2019-10-19,3.9,12.37,All
54f93795-b,Everyone open,Movie,2015,Action,G,Tracy Walters,India,Hindi,2020-04-01,1.8,91.63,Adult
572f8dfd-e,Interview measure,Movie,2011,Sci-Fi,R,Stacy Rogers,South Korea,Hindi,2018-07-24,3.1,128.52,Kids
bdeb13e9-a,Factor four,TV Show,2009,Horror,TV-14,Melissa Terry,,Hindi,2022-10-19,4.8,28.82,Teen
6cbfd9eb-c,Candidate project,TV Show,2021,Action,TV-14,Shawn Park,France,Hindi,2019-10-15,8.2,114.04,Teen
cdf6ed4e-8,Indicate study whether born,Movie,2011,Action,PG,Claire Pittman,United Kingdom,Korean,2020-11-04,2.6,254.9,Teen
7dfedee7-a,Per customer,Movie,1982,Thriller,R,Heather Jones,Canada,Japanese,2021-10-20,2.3,83.42,Adult
b2302635-1,Realize sense,TV Show,1994,Documentary,G,Ms. Erin Thompson,Japan,French,2024-07-22,7.5,294.46,Kids
48e5a897-b,Know board,TV Show,1989,Sci-Fi,R,Michael Hughes MD,United States,Japanese,2025-09-22,8.3,139.67,Adult
68bd88f6-e,Design writer,TV Show,1986,Sci-Fi,PG,Melanie Anderson,Canada,Spanish,2023-02-08,2.3,210.35,Kids
38e9cd57-a,Matter girl,TV Show,2001,animation,PG-13,Sean Nelson,France,Japanese,2022-06-18,5.4,84.82,Kids
13b29c77-7,Give laugh,TV Show,1982,Thriller,PG-13,Sarah Owens,South Korea,French,2020-04-25,6.4,191.68,Kids
28c73baf-9,Dinner agree,Movie,1982,Documentary,PG-13,Jamie Herman,Japan,Korean,2021-01-05,6.1,183.73,All
9790d2a2-3,Live at,Movie,1985,Comedy,TV-14,Monica Gray,United States,Japanese,2020-10-07,4.5,272.81,Teen
34135f2f-d,Thousand long,Movie,2000,Thriller,G,Matthew Simon,India,Hindi,2020-09-10,3.5,197.27,All
671a69c9-d,Brother foreign,Movie,2003,Comedy,PG-13,Sarah Owens,South Korea,Japanese,2018-11-29,6.6,,Adult 
f3ac19fa-8,Around whose executive,TV Show,1999,Thriller,PG,Nicholas Wood ,France,Korean,2023-01-28,9.2,121.11,All
8c04a733-4,Mr different,TV Show,1990,Sci-Fi,PG-13,Courtney Atkins,United States,Korean,2024-02-05,1.8,115.29,Adult
795c54ff-5,World,Movie,2017,Documentary,PG,Julie Boone,United Kingdom,English,2020-04-14,7.0,253.01,Teen
96e7efe5-c,Foot identify,Movie,2002,Action,R,Lee Cox ,Japan,French,2020-07-04,8.4,141.43,All
