view_id,show_id,views_millions,watch_hours_millions,region,device_type,completion_rate
V1,464237c8-d,115.57,548.46,Europe,TV,79.96
V2,ef1d668f-9,,237.16,Europe,Laptop,71.75
V3,61e8d17c-4,194.33,53.11,South America,Laptop,46.23
V4,43e4d2cc-d,65.57,401.37,North America,Tablet,68.27
V5,050cb3d7-4,131.04,538.07,North America,Tablet,58.06
V6,22745f2c-8,198.92,427.7,North America,Laptop,83.52
V7,a1a65796-8,32.02,502.59,North America,Mobile,45.04
V8,,26.37,362.43,North America,Mobile,58.48
V9,a78dcbd2-d,189.24,526.65,Asia,TV,28.89
V10,fb33ce5b-2,11.48,329.09,Europe,Mobile,28.36
V11,ff6fbcfa-a,18.78,119.6,South America,Tablet,22.19
V12,27ce6e78-7,41.53,9.53,South America,Mobile,69.3
V13,63bc5eb5-4,51.45,231.38,North America,Mobile,66.98
V14,0e4bc972-e,110.51,515.7,Europe,TV,34.77
V15,aad771a0-b,103.95,384.76,Europe,Mobile,62.07
V16,6b131e92-b,150.32,238.67,Asia,Tablet,90.69
V17,da0bb47a-c,50.58,541.83,Asia,TV,28.81
V18,4e734dcf-a,108.34,498.85,Asia,Mobile,40.02
V19,9f13cba3-8,105.42,290.34,South America,Mobile,87.38
V20,8dff7919-b,104.04,51.94,North America,TV,84.55
V21,e9a8e7fe-4 ,151.18,522.34,Europe,Tablet,35.71
V22,6ccbe5d3-f,28.71,55.02,South America,Mobile,31.6
V23,fb833204-f,109.5,336.37,Asia,Mobile,42.63
V24,e3d7f0f7-1,71.62,120.02,Asia,Mobile,92.83
V25,5e386b62-d,50.89,517.05,South America,TV,26.64
V26,3039a48a-c,74.81,587.26,Asia,TV,37.12
V27,d429cb33-9,112.89,570.69,Asia,Laptop ,36.8
V28,72b6c443-b,25.71,186.9,South America,TV,61.33
V29,07ec50c1-6,198.45,385.11,,Tablet,96.08
V30,41a65c21-3,44.78,103.49,Europe,Laptop,82.41
V31,6acb2f2f-2,37.13,299.37,South America,Tablet,45.85
V32,05e05f11-4,139.38,568.0,Europe,Mobile,30.24
V33,d57f3986-d,155.96,84.8,North America,Tablet,87.81
V34,85fe3390-6,170.01,493.65,North America,Mobile,42.39
V35,0157824e-4,141.28,326.4,South America,Laptop,76.29
V36,f6e499e2-f,45.69,150.04,South America,TV,64.04
V37,4dbeda7b-8,157.67,274.45,Asia,TV,44.72
V38,d24fa7b0-6,35.85,512.62,South America,Laptop,37.56
V39,ca423f6d-5,18.99,323.34,Europe,Tablet,47.67
V40,12d64620-c,9.79,144.74,South America,Mobile,99.05
V41,15f4cdbf-7,188.13,8.18,Europe,Tablet,96.72
V42,83721fe9-9,164.51,514.42,Asia,Mobile,
V43,763b746f-a,99.4,52.1,Europe,TV,41.55
V44,22f764f1-9,171.5,584.09,Asia,Mobile,60.94
V45,3a781b69-f,110.11,282.7,Asia,Tablet,90.47
V46,d86ed357-e,68.19,355.55,Asia,Laptop,61.26
V47,2f4ecfc8-3,121.36,392.46,North America,Mobile,64.29
V48,ab8c58a8-c,145.9,474.23,North America,Tablet,39.65
V49,2bca75b5-d,133.61,546.72,Asia,Tablet,44.34
V50,90f81dac-b,64.41,67.97,Europe,Laptop,51.88
V51,9efc102b-1,85.74,38.84,Asia,TV,53.25
V52,8a4de723-2,177.64,349.24,North America,Laptop,91.34
V53,571ba780-b,31.38,243.28,South America,Tablet,89.07
V54,4af7d85f-1,153.11,58.88,South America,Laptop,44.05
V55,90e0682c-4,94.71,96.09,Asia,Tablet,49.7
V56,dcd040f9-2,149.43,357.92,Europe,Mobile,74.24
V57,a7db6beb-5,132.63,305.2,North America,Laptop,33.2
V58,2c43536a-4,155.19,563.58,North America,Tablet,99.21
V59,a10c1a8c-b,164.49,589.42,Europe,,22.69
V60,391777ab-0,24.09,512.97,North America,Laptop,67.56
V61,26492b46-f,109.65,377.06,Europe,Tablet,83.15
V62,54f93795-b,160.52,291.8,North America,Mobile,39.49
V63,572f8dfd-e,126.07,153.2,South America,,37.88
V64,bdeb13e9-a,126.42,54.15,Asia,Mobile,45.03
V65,6cbfd9eb-c,183.02,59.78,South America,Tablet,22.61
V66,cdf6ed4e-8,21.55,309.53,Asia,Tablet,
V67,7dfedee7-a,129.36,310.25,South America,Tablet,62.91
V68,b2302635-1,164.07,450.56,North America,Mobile,85.92
V69,48e5a897-b,58.93,570.07,North America,Tablet,28.16
V70,68bd88f6-e,137.87,391.71,Europe,TV,56.44
V71,38e9cd57-a,137.08,483.13,South America,TV,80.3
V72,13b29c77-7,142.35,165.17,North America,Tablet,92.82
V73,28c73baf-9,146.39,82.71,South America,Mobile,68.83
V74,9790d2a2-3,65.31,506.87,Europe,Mobile,38.02
V75,34135f2f-d,20.72,482.93,Asia,Laptop,35.73
V76,671a69c9-d,153.11,33.38,South America,Laptop,43.32
V77,f3ac19fa-8,124.11,363.6,South America,TV,32.73
V78,8c04a733-4,157.33,592.54,Asia,Laptop,30.78
V79,795c54ff-5,133.38,365.58,Asia,Tablet,81.06
V80,96e7efe5-c,99.49,216.3,North America,TV,52.46
V81,cc1e3b3a-3,44.68,469.1,Europe,Mobile,28.44
V82,,37.23,498.93,Europe,Mobile,90.57
V83,780401fa-a,124.15,121.57,Asia,Tablet,51.7
V84,fa578228-5,92.5,59.95,Europe,Tablet,99.19
V85,5952c2e5-e,80.05,233.61,North America,Laptop,29.6
V86,c00dad6b-f,144.9,492.55,North America,TV,74.34
V87,35270b9b-d,96.47,151.02,Europe,TV,77.09
V88,5f683f67-c,146.81,136.4,Europe,Mobile,81.63
V89,23fed625-c,152.2,254.95,Asia,Laptop,45.9
V90,88828cbf-4,153.2,2.25,South America,Laptop,42.2
V91,2f41c7de-f,62.41,272.19,North America,Laptop,
V92,f1ecb2cc-1,69.96,179.61,North America,TV,74.86
V93,e0c22165-f,101.0,12.21,South America,Laptop,81.59
V94,4764bb48-d,179.13,177.25,North America,Mobile,97.63
V95,46df49af-8,92.16,273.84,South America,Tablet,47.96
V96,3c883579-6,97.24,163.24,Europe,TV,74.04
V97,2bcd3b51-c,137.08,238.24,North America,TV,92.67
V98,9a8b523d-8,130.43,179.22,Europe,Mobile,63.32
V99,11dfd4b4-5,116.74,341.64,Asia,TV,88.97
V100,58155c4b-6,192.04,59.78,North America,Mobile,49.67
V101,88f39bd3-7,20.38,353.4,Asia,Mobile,97.67
V102,b80bbe5d-d,198.53,122.33,South America,Tablet,83.98
V103,767c2098-f,187.23,199.41,North America,Tablet,98.88
V104,d9dfd4ca-f,159.71,16.01,Asia,TV,56.76
V105,83ebb0cd-9,89.84,473.71,Europe,Mobile,25.93
V106,21eeda93-6,96.32,471.06,Europe,Mobile ,66.17
V107,408131f3-3,122.86,538.85,Europe,Laptop,72.6
V108,c08afc0a-6,18.9,378.71,Europe,Laptop,64.5
V109,9ab25994-8,94.13,6.1,North America,Tablet,67.34
V110,42e11db8-0,94.84,405.4,Europe,TV,61.06
V111,71c2c85f-6,7.38,455.29,Europe,Tablet,60.64
V112,22176108-b,78.38,347.27,South America ,TV,27.7
V113,02017a24-1,147.32,559.8,North America,Laptop,54.22
V114,0907c3b3-2,36.79,536.88,Europe,TV,26.61
V115,fd2f2f5c-7,174.13,274.01,Europe,TV,39.3
V116,201535db-e,199.77,304.97,Asia,TV,39.17
V117,49984064-1,116.16,425.38,Asia,Tablet,66.5
V118,29b34174-0,169.56,142.66,Asia,TV,21.99
V119,6d1367f5-2,62.42,567.42,Asia,Tablet,89.75
V120,051cd833-b,176.86,191.5,North America,TV,83.39
V121,5a59a318-a ,174.87,283.46,Asia,Mobile,60.97
V122,60ee23ae-1,104.7,126.63,Europe,Tablet,52.46
V123,f51ef5d3-b,136.19,384.38,North America,Laptop,66.74
V124,c26f4aea-4,109.09,45.19,Asia,Mobile,42.14
V125,0386c037-f,49.76,403.91,South America,TV,64.86
V126,b54033f7-2,193.86,67.82,Europe,TV,62.56
V127,a435e612-b,123.36,124.39,Asia,Mobile,94.3
V128,5634e4b4-8,,481.54,Asia,Tablet,65.25
V129,e65bfc98-6,145.89,288.49,North America,TV,36.92
V130,3ac20ea0-9,29.31,283.45,Asia,,64.68
V131,7cf887de-c,49.12,347.97,North America,Laptop,39.82
V132,9ac890b8-c,78.78,161.07,Europe,TV,88.63
V133,0099bd6d-7,30.84,209.33,North America,Laptop,70.96
V134,ab09f1fd-8,58.95,103.7,Asia,Laptop,76.77
V135,2f5208f5-4,49.77,181.86,Europe,Laptop,87.16
V136,a854669b-e,153.06,553.87,Europe,Mobile,63.3
V137,68bf60c7-8,95.57,156.58,Asia,Tablet,66.78
V138,89931b32-2,113.51,424.52,North America,TV,99.28
V139,a1c7207a-9,53.98,14.44,Europe,Mobile,70.58
V140,97ed0f49-c,81.38,485.52,South America,Tablet,38.85
V141,71b341af-e,177.63,191.1,Asia,Tablet,96.93
V142,be70afea-4,149.23,58.0,Europe,TV,40.58
V143,974d9e53-b,103.23,349.46,Europe,Tablet,89.4
V144,2bb86449-8,149.81,99.15,Asia,Mobile,26.84
V145,b9d804cc-0,33.17,461.48,Asia,Laptop,44.02
V146,e1afffa0-f,34.3,90.03,South America,Laptop,67.74
V147,c5a5ac1d-3,12.1,298.96,South America,Mobile,26.46
V148,289497f9-a,53.28,569.6,Europe,Tablet,58.17
V149,8a720e3c-3,181.16,372.08,Asia,Tablet,78.89
V150,807280d5-2,165.35,565.68,South America,Tablet,32.54
V151,f9b4e3aa-0,188.98,54.49,South America,TV,48.64
V152,5c345baf-e,67.48,507.56,Europe,Tablet,53.25
V153,218bdb66-a,194.6,392.91,South America,Laptop ,44.14
V154,9b26f58c-e,93.2,364.1,South America,Mobile,53.89
V155,e913be69-3,75.49,24.7,South America,Tablet,49.16
V156,b5770310-3,21.54,526.59,North America,Tablet,31.79
V157,f92ca2ca-d,121.68,220.55,North America,TV,50.36
V158,d5539d4d-8,193.47,65.69,Asia,Tablet,43.58
V159,89dd4ed9-5,127.89,561.11,Asia,Tablet,84.98
V160,b47af1d2-9,84.94,505.72,Europe,Laptop,64.16
V161,573ad3ae-a,46.96,323.35,South America,TV,75.55
V162,c9172ca4-7,107.61,232.36,North America,TV,71.49
V163,d19caa50-b,4.04,271.28,North America,Laptop,68.15
V164,9937a860-8,167.24,291.28,South America,Mobile,24.69
V165,deca544d-1,,509.79,South America,Tablet,97.04
V166,0008281c-4,121.59,430.99,Asia,Laptop,27.09
V167,65f8db3a-1,131.42,515.58,North America,Laptop,33.19
V168,3f7f44e8-7,111.8,543.56,Europe,TV,28.86
V169,8fce9a98-f,100.51,272.24,South America,Tablet,94.01
